S.no.,Public Group name,url_fb,19 April Status,Primary Group Category (Anti-Vaxx/General info on vaccines/Pro-Vaxx/Vaccination Finder/Mixed....Add new ones as you see fit),Secondary Group Category,Group Size (Add no. of members),Terms_start (Term that got you here),RA Name (Coder),startdate_tracking,Notes,April13_Status
51,END the Covid-19 Lockdown NOW!- Only Sunshine or Vit.D3 will stop this Flu!,https://www.facebook.com/groups/532310974382450/,Active,Anti-Vaxx,,962,Vitamin D,Julia,4/13/21,,
52,Vaccine Fairy - USA Wide Vaccination Appointment Booking,https://www.facebook.com/groups/vaccinefairies/,Active,Vaccination Finder,,184,vaccine appointment,Julia,4/13/21,,
53,New Jersey COVID Vaccine Sites,https://www.facebook.com/groups/newjerseycovidvaccinesites/,Active,Vaccination Finder,,18.9,vaccine appointment,Julia,4/13/21,,
54,New Jersey Covid Vaccine Info,https://www.facebook.com/groups/891546924927251/,Active,Vaccination Finder,,139.9,vaccine appointment,Julia,4/13/21,,
55,PA CoVID Vaccine Match Maker,https://www.facebook.com/groups/989925228080446/,Active,Vaccination Finder,,2.9,vaccine appointment,Julia,4/13/21,,
56,Rite Aid Covid Vaccine Swap,https://www.facebook.com/groups/895879774558103/,Active,Vaccination Finder,,161,vaccine appointment,Julia,4/13/21,,
57,New Jersey Vaccine Hunters,https://www.facebook.com/groups/njcovidhunters/,Active,Vaccination Finder,,5.5,vaccine appointment,Julia,4/13/21,,
58,Vaccine Hunters / Angels Massachusetts,https://www.facebook.com/groups/190685809507566/,Active,Vaccination Finder,,14.5,vaccine appointment,Julia,4/13/21,,
59,Vaccine Appointment Scheduling - Tips & Tricks,https://www.facebook.com/groups/431342554838279/,Active,Vaccination Finder,,287,vaccine appointment,Julia,4/13/21,,
60,Covid vaccine appointments,https://www.facebook.com/groups/215772326933474/,Active,Vaccination Finder,,721,vaccine appointment,Julia,4/13/21,,
61,BIO-MICROCHIPS IMPLANTED TIs GROUP,https://www.facebook.com/groups/biochip/,Active,Anti-Vaxx,,358,microchip,Isra,4/13/21,"Range of misinformation, but more recent posts relate to COVID/the vaccine",
62,Boycott Human Microchip Implants,https://www.facebook.com/groups/boycotthumanmicrochipimplants/,Active,Anti-Vaxx ,,901,microchip,Isra,4/13/21,"Range of misinformation, but more recent posts relate to COVID/the vaccine",
63,Covid19 vaccine discussion group,https://www.facebook.com/groups/736320480609317/,Active,General info on vaccines,,692,vaccine conspiracy,Isra,4/13/21,Mixed,
64,Covid Vaccine After Effects,https://www.facebook.com/groups/277181357126425/,Active,General info on vaccines,,182,vaccine conspiracy,Isra,4/13/21,,
65,DFW Covid Vaccine Finder,https://www.facebook.com/groups/dfwcovidvaccinefinder/,Active,Vaccination Finder,,31.3,vaccine conspiracy,Isra,4/13/21,,
66,Iâ€™ve had the Pfizer/BioNTech Vaccine,https://www.facebook.com/groups/6952025045147733/,No result,General info on vaccines,,1.6,vaccine conspiracy,Isra,4/13/21,,This Content Isn't Available Right Now
67,COVID-19 VACCINATION : A STEP TO RECOVERY,https://www.facebook.com/groups/408082683941774/,Active,Pro-Vaxx,,493,vaccine conspiracy,Isra,4/13/21,,
68,Coronavirus Conspiracies Debunking,https://www.facebook.com/groups/coronavirusconspiraciesdebunking/,Active,General info on vaccines,,305,vaccine conspiracy,Isra,4/13/21,Fact checking,
69,Vaccinate Houston: Covid-19,https://www.facebook.com/groups/vaccinatehouston/,Active,Vaccination Finder,,20.2,vaccine conspiracy,Isra,4/13/21,,
70,South Texas COVID Vaccine Finder,https://www.facebook.com/groups/234719384799446/,Active,Vaccination Finder,,878,vaccine conspiracy,Isra,4/13/21,,
71,MASSACHUSETTS COVID VACCINE INFO AND SUPPORT,https://www.facebook.com/groups/294823485311961/,Active,Vaccination Finder,,5.1,vaccine conspiracy,Isra,4/13/21,,
72,Southern California COVID-19 Vaccination Info,https://www.facebook.com/groups/748715169390269/,Active,Vaccination Finder,,955,vaccine conspiracy,Isra,4/13/21,,
73,VacciNation,https://www.facebook.com/groups/151673883566/,Active,Anti-Vaxx,,850,vaccine conspiracy,Isra,4/13/21,,
74,Colorado Vaccine Hunters,https://www.facebook.com/groups/covaccinehunters/,Active,Vaccination Finder,,26,vaccine conspiracy,Isra,4/13/21,,
75,Colorado Vaccine Hunters,https://www.facebook.com/groups/1615095922034083/,Active,Vaccination Finder,,2.3,vaccine conspiracy,Isra,4/13/21,,
76,New Yorkers against mandatory vaccinations,https://www.facebook.com/groups/485303079065540/,Active,Anti-Vaxx,,209,vaccine conspiracy,Isra,4/13/21,,
77,The people against covid conspiracy,https://www.facebook.com/groups/337726870643318/,Active,Anti-Vaxx,,1.1,vaccine conspiracy,Isra,4/13/21,COVID Conspiracy,
78,Anti Vax Wall of Shame,https://www.facebook.com/groups/antivaxwos/,Active,Anti-Vaxx,,9.4,vaccine conspiracy,Isra,4/13/21,,
79,Covid-19- Vaccine adverse effects and deaths,https://www.facebook.com/groups/3887736227951350/,Active,Anti-Vaxx,,118,vaccine conspiracy,Isra,4/13/21,,
80,VAERS - Vaccine Adverse Event Reporting System - My Experience,https://www.facebook.com/groups/274355467700923/,Active,Anti-Vaxx,,195,vaccine conspiracy,Isra,4/13/21,,
81,SAY NO TO VACCINATION PASSPORTS,https://www.facebook.com/groups/892817724818042/,Active,Anti-Vaxx,,512,vaccine conspiracy,Isra,4/13/21,,
82,opinion on covid.. mask.. vaccine be respectfull,https://www.facebook.com/groups/606248606990421/,Active,Anti-Vaxx,,104,vaccine conspiracy,Isra,4/13/21,,
83,Covid-19 Vaccination Reactions and Feedback 1,https://www.facebook.com/groups/706514510017891/,Active,Anti-Vaxx,,176,vaccine conspiracy,Isra,4/13/21,,
84,Illinois Vaccine Hunters,https://www.facebook.com/groups/illinoisvaccinehunters/,Active,Vaccination Finder,,1.1,vaccine hunter,Isra,4/13/21,,
85,New York / Connecticut Vaccine Hunters and Angels,https://www.facebook.com/groups/1096372554182771/,Active,Vaccination Finder,,23.6,vaccine hunter,Isra,4/13/21,,
86,Maryland Vaccine Hunters,https://www.facebook.com/groups/462938984877900/,Active,Vaccination Finder,,85.1,vaccine hunter,Isra,4/13/21,,
87,Covid Vaccine Hunters PA,https://www.facebook.com/groups/1439595506378924/,Active,Vaccination Finder,,1.5,vaccine hunter,Isra,4/13/21,,
88,Virginia Vaccine Hunters,https://www.facebook.com/groups/vavaccinehunters/,Active,Vaccination Finder,,3,vaccine hunter,Isra,4/13/21,,
89,NJ Covid Vax Hunters,https://www.facebook.com/groups/njcovidvaxhunters/,Active,Vaccination Finder,,132,vaccine hunter,Isra,4/13/21,,
90,NoVA Vaccine Hunters,https://www.facebook.com/groups/787179508560097/,Active,Vaccination Finder,,722,vaccine hunter,Isra,4/13/21,,
91,Maryland Covid Vaccine Hunters,https://www.facebook.com/groups/294127545460848/,Active,Vaccination Finder,,3,vaccine hunter,Isra,4/13/21,,
